stock_id,market_intel_status,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,final_market_score,confidence_score,market_risk_score,risk_flags,final_comment,data_source_warning,system_comment
6834,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,55.1,,,86.39,3.19,0.76,32.24748256593982,,無重大事件資料 原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；PE 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,30.0,100.0,50.0,40.0,50.0,92.0,78.0,65.3,90.0,34.7,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
2478,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,96.3,,,24.74,1.8,1.98,11.583756972029557,,無重大事件資料 原始技術總分 82.45；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；融資暴增但法人賣超；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,56.0,100.0,50.0,22.0,50.0,92.0,78.0,67.9,90.0,32.1,相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
6902,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,127.0,,,41.64,5.7,,21.14920269160528,,無重大事件資料 原始技術總分 82.15；月營收年增率大於 20%；累計營收 YoY 大於 10%；PE 過高扣分；PB 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,18.0,100.0,50.0,50.0,50.0,75.0,78.0,63.25,90.0,36.75,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 偏高；PB 偏高；PB 過高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
4571,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,227.5,,,25.75,3.57,2.28,10.390858257050589,,無重大事件資料 原始技術總分 82.15；月營收 YoY 正成長；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,100.0,50.0,50.0,50.0,92.0,78.0,67.3,90.0,32.7,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
5258,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,60.0,,,17.55,1.48,1.7,22.406563633153613,,無重大事件資料 原始技術總分 81.78；月營收年增率大於 20%；PB 相對合理；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,68.0,97.34,50.0,40.0,50.0,75.0,78.0,67.72,90.0,32.28,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；EPS 為負,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
3055,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,124.0,,,,7.85,0.88,336.3079796617205,,無重大事件資料 原始技術總分 81.77；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 過高扣分；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；所屬產業排名前 20%；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,38.0,97.27,50.0,40.0,50.0,92.0,86.0,65.95,90.0,34.05,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 為空或負值；PB 偏高；EPS 為負；PB 過高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
2355,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,63.4,,,34.14,1.29,1.73,-3.0921348314606742,,無重大事件資料 原始技術總分 81.62；基本面資料中性；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,56.0,96.7,50.0,50.0,50.0,92.0,78.0,63.64,90.0,36.36,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
4562,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,41.8,,,,4.09,,10.025883199917722,,無重大事件資料 原始技術總分 81.59；月營收 YoY 正成長；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,97.75,50.0,50.0,50.0,92.0,78.0,66.85,90.0,33.15,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 為空或負值,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
8454,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,199.5,,,18.27,4.9,5.22,1.3234449482091937,,無重大事件資料 原始技術總分 81.38；月營收 YoY 正成長；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,85.54,50.0,40.0,50.0,92.0,78.0,66.11,90.0,33.89,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
2464,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,135.0,,,,5.71,0.36,23.08715413383901,,無重大事件資料 原始技術總分 80.48；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；所屬產業排名前 20%；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,38.0,92.11,50.0,40.0,50.0,92.0,86.0,64.92,90.0,35.08,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 為空或負值；PB 偏高；PB 過高,有風險標籤，需降低優先度,,有風險標籤，需降低優先度
