stock_id,market_intel_status,requested_date,actual_data_date,fallback_date,fallback_reason,cache_age_days,is_stale_data,data_freshness_level,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,final_market_score,confidence_score,market_risk_score,risk_flags,final_comment,data_source_warning,system_comment
6585,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,109.0,,,20.24,1.93,4.54,27.45845690345055,,無重大事件資料 原始技術總分 84.14；月營收年增率大於 20%；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,61.0,96.57,50.0,40.0,50.0,60.0,78.0,66.11,90.0,33.89,融資連增但股價不漲,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
6957,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,194.0,,,17.8,4.53,4.79,53.31255357930569,,無重大事件資料 原始技術總分 83.92；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,95.69,50.0,40.0,50.0,60.0,78.0,66.54,90.0,33.46,融資連增但股價不漲,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
00962,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,15.86,,,,,,,,無重大事件資料 原始技術總分 83.68；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,94.72,50.0,50.0,50.0,60.0,68.0,60.34,50.0,39.66,,資料不足，需人工補查後再判斷,,資料不足，需人工補查後再判斷；非交易日，使用最近交易日資料。
00916,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,31.27,,,,,,,,無重大事件資料 原始技術總分 83.46；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；短線相對強勢；產業強但個股較弱，列入觀察；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,93.82,50.0,40.0,50.0,75.0,50.0,60.01,50.0,39.99,融資連增但股價不漲,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
1714,OK,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,,12.1,,,17.19,0.85,1.64,71.71403036691967,,無重大事件資料 原始技術總分 83.2；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資明顯增加；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；注意股 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,注意股,-25.0,62.0,68.0,100.0,50.0,32.0,35.0,75.0,78.0,66.62,100.0,38.38,融資連增但股價不漲；注意股,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
6890,OK,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,,231.5,,,20.82,2.12,4.28,-9.227871290255203,,無重大事件資料 原始技術總分 83.2；基本面資料中性；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan；注意股 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,注意股,-25.0,38.0,55.0,100.0,50.0,50.0,35.0,92.0,78.0,62.58,100.0,42.42,注意股,資料中性，仍以原本技術面與風控結果為準,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。
00918,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,30.88,,,,,,,,無重大事件資料 原始技術總分 83.17；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；融資暴增但法人賣超；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,92.66,50.0,22.0,50.0,92.0,78.0,62.03,50.0,37.97,融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
00961,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,13.27,,,,,,,,無重大事件資料 原始技術總分 83.12；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,92.48,50.0,40.0,50.0,75.0,68.0,60.65,50.0,39.35,融資連增但股價不漲；未通過既有風控,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
00907,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,16.4,,,,,,,,無重大事件資料 原始技術總分 82.76；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；信用交易結構中性；短線相對強勢；產業強但個股較弱，列入觀察；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,91.04,50.0,50.0,50.0,60.0,50.0,58.71,50.0,41.29,未通過既有風控,資料不足，需人工補查後再判斷,,資料不足，需人工補查後再判斷；非交易日，使用最近交易日資料。
5203,WARNING,2026-06-04,2026-06-04,2026-06-04,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,72.0,,,19.51,1.18,5.04,-10.802522520837911,,無重大事件資料 原始技術總分 82.76；基本面資料中性；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,73.0,91.06,50.0,40.0,50.0,60.0,64.0,61.91,90.0,38.09,融資連增但股價不漲；未通過既有風控,有投資風險標籤，需降低優先度,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。
