decision_date,trade_date,stock_id,stock_name,source,current_status,decision,decision_level,action,candidate_grade,reason,risk_flags,confidence_score,total_score,multi_factor_score,final_market_score,liquidity_score,sector_strength_score,event_risk_level,position_size_suggestion,can_auto_trade,requires_manual_review,review_level,review_reason,data_quality_flags,investment_risk_flags,data_quality_note
2026-05-27,2026-05-27,00901,永豐智能車供應鏈,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,相對強勢,50.0,85.0,65.09,61.9,60.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：相對強勢；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,2881,富邦金,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,90.0,84.95,70.28,69.56,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,00923,群益台ESG低碳50,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,50.0,84.89,65.64,63.41,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,00911,兆豐洲際半導體,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,50.0,84.87,64.44,61.8,60.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,2453,凌群,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,相對強勢,90.0,84.78,67.72,67.97,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：相對強勢；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,,產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,3617,碩天,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,90.0,84.72,67.05,67.92,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,產業分類資料不足；缺少產業分類，使用全市場相對強弱；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,1513,中興電,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,相對強勢；未通過既有風控,90.0,84.41,68.09,67.48,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：相對強勢；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,,產業分類資料不足；缺少產業分類，使用全市場相對強弱；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,00876,元大全球5G,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,相對強勢；未通過既有風控,50.0,84.32,64.83,61.36,60.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：相對強勢；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,1409,新纖,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控,90.0,83.68,67.07,68.74,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資暴增但法人賣超；未通過既有風控；資料不足：財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲；融資暴增但法人賣超,財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,00991A,主動復華未來50,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；融資使用偏高；未通過既有風控,50.0,83.64,64.69,62.41,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資使用偏高；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲；融資使用偏高,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,1583,程泰,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控；流動性太低,流動性偏低；滑價風險偏高；融資連增但股價不漲；未通過既有風控；流動性太低,90.0,83.46,67.52,66.06,35.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：流動性偏低；滑價風險偏高；融資連增但股價不漲；未通過既有風控；流動性太低；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,流動性偏低；滑價風險偏高；融資連增但股價不漲,產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,4952,凌通,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,PE 偏高；未通過既有風控,90.0,83.43,66.81,63.8,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：PE 偏高；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,PE 偏高,產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；PE 偏高
2026-05-27,2026-05-27,2606,裕民,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,相對強勢；未通過既有風控,90.0,83.42,71.81,69.53,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：相對強勢；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,,產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,1530,亞崴,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,注意股；流動性偏低；未通過既有風控,90.0,83.27,67.26,64.8,50.0,78.0,MEDIUM,0.0,False,True,RISK_REVIEW,投資風險：注意股；流動性偏低；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,注意股；流動性偏低,產業分類資料不足；缺少產業分類，使用全市場相對強弱；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,1568,倉佑,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,注意股；流動性偏低；未通過既有風控,90.0,83.2,66.74,64.3,50.0,78.0,MEDIUM,0.0,False,True,RISK_REVIEW,投資風險：注意股；流動性偏低；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,注意股；流動性偏低,產業分類資料不足；缺少產業分類，使用全市場相對強弱；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,00913,兆豐台灣晶圓製造,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,50.0,83.2,64.41,62.65,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,00910,第一金太空衛星,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,50.0,83.2,65.02,63.5,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,1810,和成,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,90.0,82.95,65.5,63.46,60.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控；資料不足：產業分類資料不足；缺少產業分類，使用全市場相對強弱,產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數
2026-05-27,2026-05-27,00927,群益半導體收益,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,50.0,82.82,64.87,61.76,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-05-27,2026-05-27,00930,永豐ESG低碳高息,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,相對強勢；未通過既有風控,50.0,82.7,64.82,60.81,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：相對強勢；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,,基本面資料不足；估值資料不足；財報資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數
